Common Name,Scientific Name,ESA Listing Status,Is Foreign?,Taxonomic Family,Taxonomic Group,Taxonomic Kingdom
Aaa water treader bug,Cavaticovelia aaa,Species of Concern,FALSE,Mesoveliidae,Insects,Animal
Aalbu's cave pseudoscorpion,Archeolarca aalbui,Species of Concern,FALSE,Garypidae,Arachnids,Animal
Aardhals springsnail,Pyrgulopsis aardahli,Species of Concern,FALSE,Hydrobiidae,Snails,Animal
Aase's onion,Allium aaseae,Species of Concern,FALSE,Liliaceae,Flowering Plants,Plant
Abajo daisy,Erigeron abajoensis,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
Abbott's booby,Papasula (=Sula) abbotti,Endangered,TRUE,Sulidae,Birds,Animal
Abbott's bush-mallow,Malacothamnus abbottii,Species of Concern,FALSE,Malvaceae,Flowering Plants,Plant
Abellan hydropsyche caddisfly,Ceratopsyche abella,Species of Concern,FALSE,Hydropsychidae,Insects,Animal
Aboriginal Prickly-apple,Harrisia (=Cereus) aboriginum (=gracilis),Endangered,FALSE,Cactaceae,Flowering Plants,Plant
Absaroka beardtongue,Penstemon absarokensis,Resolved Taxon,FALSE,Scrophulariaceae,Flowering Plants,Plant
Acadian Flycatcher,Empidonax virescens,Species of Concern,FALSE,Tyrannidae,Birds,Animal
A Cave Obligate amphipod,Stygobromus obscurus,Resolved Taxon,FALSE,Crangonyctidae,Crustaceans,Animal
A Cave Obligate Harvestman,Cryptobunus cavicolus,Resolved Taxon,FALSE,Triaenonychidae,Arachnids,Animal
A Cave Obligate Harvestman,Hesperonemastoma packardi,Resolved Taxon,FALSE,Opiliones,Arachnids,Animal
A Cave Obligate Pseudoscorpion,Tyrannochthonius troglodytes,Resolved Taxon,FALSE,Chthoniidae,Arachnids,Animal
A Cave Obligate Shrimp,sphaeromicola moria,Resolved Taxon,FALSE,entocytheridae,Crustaceans,Animal
Acklins ground iguana,Cyclura rileyi nuchalis,Threatened,TRUE,Iguanidae,Reptiles,Animal
Acoma fleabane,Erigeron acomanus,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
Acorn rams-horn,Planorbella multivolvis,Species of Concern,FALSE,Planorbidae,Snails,Animal
Acornshell,Epioblasma haysiana,Resolved Taxon,FALSE,Unionidae,Clams,Animal
Acuña Cactus,Echinomastus erectocentrus var. acunensis,Endangered,FALSE,Cactaceae,Flowering Plants,Plant
Acute elimia,Elimia acuta,Under Review,FALSE,Pleuroceridae,Snails,Animal
Addax,Addax nasomaculatus,Endangered,TRUE,Bovidae,Mammals,Animal
Adder's-mouth,Malaxis brachypoda,Species of Concern,FALSE,Orchidaceae,Flowering Plants,Plant
Addison's virgin's bower,Clematis addisonii,Species of Concern,FALSE,Ranunculaceae,Flowering Plants,Plant
Adobe desert-parsley,Lomatium concinnum,Species of Concern,FALSE,Apiaceae,Flowering Plants,Plant
Adobe navarretia,navarretia nigelliformis ssp. nigelliformis,Species of Concern,FALSE,polemoniaceae,Flowering Plants,Plant
Adobe sanicle,Sanicula maritima,Species of Concern,FALSE,Apiaceae,Flowering Plants,Plant
Adobe yampah,Perideridia pringlei,Resolved Taxon,FALSE,Apiaceae,Flowering Plants,Plant
Adriatic sturgeon,Acipenser naccarii,Endangered,FALSE,Acipenseridae,Fishes,Animal
Adytum megalagrion damselfly,Megalagrion adytum,Species of Concern,FALSE,Coenagrionidae,Insects,Animal
A`e,Zanthoxylum dipetalum var. tomentosum,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
A`e,Zanthoxylum hawaiiense,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
A`e,Zanthoxylum oahuense,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
A`e,Zanthoxylum semiarticulatum,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
A`e,Zanthoxylum skottsbergii,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
A Freshwater Snail,Pyrgulopsis bedfordensis,Resolved Taxon,FALSE,Hydrobiidae,Snails,Animal
African coelacanth,Latimeria chalumnae,Threatened,FALSE,Coelacanthidae,Fishes,Animal
African dwarf crocodile,Osteolaemus tetraspis tetraspis,Endangered,TRUE,Crocodylidae,Reptiles,Animal
African elephant,Loxodonta africana,Threatened,TRUE,Elephantidae,Mammals,Animal
African penguin,Spheniscus demersus,Endangered,TRUE,Spheniscidae,Birds,Animal
African slender-snouted crocodile,Crocodylus cataphractus,Endangered,TRUE,Crocodylidae,Reptiles,Animal
African viviparous toads,Nectophrynoides spp.,Endangered,TRUE,Bufonidae,Amphibians,Animal
African wild ass,Equus africanus,Endangered,TRUE,Equidae,Mammals,Animal
African wild dog,Lycaon pictus,Endangered,TRUE,Canidae,Mammals,Animal
Agate rocksnail,Leptoxis clipeata,Resolved Taxon,FALSE,Pleuroceridae,Snails,Animal
Agave Threeband,Humboldtiana agavophila,Resolved Taxon,FALSE,Humboldtianidae,Snails,Animal
`Ahakea,Bobea sandwicensis,Resolved Taxon,FALSE,Rubiaceae,Flowering Plants,Plant
`Ahakea,Bobea timonioides,Species of Concern,FALSE,Rubiaceae,Flowering Plants,Plant
Ahart's dwarf rush,Juncus leiospermus var. ahartii,Species of Concern,FALSE,Juncaceae,Flowering Plants,Plant
Ahart's whitlow-wort,Paronychia ahartii,Species of Concern,FALSE,Caryophyllaceae,Flowering Plants,Plant
`Ahinahina,Argyroxiphium sandwicense ssp. macrocephalum,Threatened,FALSE,Asteraceae,Flowering Plants,Plant
`Ahinahina,Argyroxiphium sandwicense ssp. sandwicense,Endangered,FALSE,Asteraceae,Flowering Plants,Plant
Ahinahina long-horned beetle,Plagiithmysus swezeyanus,Species of Concern,FALSE,Cerambycidae,Insects,Animal
A Hornwort,Aspiromitus appalachianus,Species of Concern,FALSE,Anthocerotaceae,Flowering Plants,Plant
"`Aiakeakua, popolo",Solanum sandwicense,Endangered,FALSE,Solanaceae,Flowering Plants,Plant
`Aiea,Nothocestrum breviflorum,Endangered,FALSE,Solanaceae,Flowering Plants,Plant
`Aiea,Nothocestrum latifolium,Endangered,FALSE,Solanaceae,Flowering Plants,Plant
`Aiea,Nothocestrum longifolium,Resolved Taxon,FALSE,Solanaceae,Flowering Plants,Plant
`Aiea,Nothocestrum peltatum,Endangered,FALSE,Solanaceae,Flowering Plants,Plant
Ajo rock-daisy,Perityle ajoensis,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
Akekee,Loxops caeruleirostris,Endangered,FALSE,Fringillidae,Birds,Animal
akiapolaau,Hemignathus wilsoni,Endangered,FALSE,Drepanidinae,Birds,Animal
Akikiki,Oreomystis bairdi,Endangered,FALSE,Fringillidae,Birds,Animal
`Akoko,Chamaesyce arnottiana,Species of Concern,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Chamaesyce atrococca,Species of Concern,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Chamaesyce celastroides tomentella,Species of Concern,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Chamaesyce olowaluana,Species of Concern,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Chamaesyce remyi hanaleiensis,Resolved Taxon,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Chamaesyce skottsbergii vaccinioides,Species of Concern,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Chamaesyce sparsiflora,Species of Concern,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Euphorbia celastroides var. kaenana,Endangered,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Euphorbia deppeana,Endangered,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Euphorbia eleanoriae,Endangered,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Euphorbia haeleeleana,Endangered,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Euphorbia herbstii,Endangered,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Euphorbia kuwaleana,Endangered,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Euphorbia remyi var. kauaiensis,Endangered,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Euphorbia remyi var. remyi,Endangered,FALSE,Euphorbiaceae,Flowering Plants,Plant
`Akoko,Euphorbia rockii,Endangered,FALSE,Euphorbiaceae,Flowering Plants,Plant
''Akoko,Euphorbia halemanui,Endangered,FALSE,Euphorbiaceae,Flowering Plants,Plant
`aku,Cyanea tritomantha,Endangered,FALSE,Campanulaceae,Flowering Plants,Plant
`aku`aku,Cyanea platyphylla,Endangered,FALSE,Campanulaceae,Flowering Plants,Plant
Ala`a,Pouteria hotteana,Species of Concern,FALSE,Sapotaceae,Flowering Plants,Plant
Ala`a,Pouteria sandwicensis,Resolved Taxon,FALSE,Sapotaceae,Flowering Plants,Plant
`Ala `ala wai nui,Peperomia subpetiolata,Endangered,FALSE,Piperaceae,Flowering Plants,Plant
Ala balik (trout),Salmo platycephalus,Endangered,TRUE,Salmonidae,Fishes,Animal
Alabama beach mouse,Peromyscus polionotus ammobates,Endangered,FALSE,Muridae,Mammals,Animal
Alabama canebrake pitcher-plant,Sarracenia rubra ssp. alabamensis,Endangered,FALSE,Sarraceniaceae,Flowering Plants,Plant
Alabama Cave crayfish,Cambarus jonesi,Status Undefined,FALSE,Cambaridae,Crustaceans,Animal
Alabama cavefish,Speoplatyrhinus poulsoni,Endangered,FALSE,Amblyopsidae,Fishes,Animal
Alabama cave shrimp,Palaemonias alabamae,Endangered,FALSE,Atyidae,Crustaceans,Animal
Alabama channel darter,Percina sp.,Species of Concern,FALSE,Percidae,Fishes,Animal
Alabama Clubshell,Pleurobema troschelianum,Resolved Taxon,FALSE,Unionidae,Clams,Animal
Alabama croton,Croton alabamensis alabamensis,Species of Concern,FALSE,Euphorbiaceae,Flowering Plants,Plant
Alabama glade cress,Leavenworthia alabamica ssp. alabamica,Resolved Taxon,FALSE,Brassicaceae,Flowering Plants,Plant
Alabama hickorynut,Obovaria unicolor,Under Review,FALSE,Unionidae,Clams,Animal
Alabama jamesianthus,Jamesianthus alabamensis,Species of Concern,FALSE,Asteraceae,Flowering Plants,Plant
Alabama lampmussel,Lampsilis virescens,"Experimental Population, Non-Essential",FALSE,Unionidae,Clams,Animal
Alabama lampmussel,Lampsilis virescens,Endangered,FALSE,Unionidae,Clams,Animal
Alabama larkspur,Delphinium alabamicum,Resolved Taxon,FALSE,Ranunculaceae,Flowering Plants,Plant
Alabama leather flower,Clematis socialis,Endangered,FALSE,Ranunculaceae,Flowering Plants,Plant
Alabama Map turtle,Graptemys pulchra,Proposed Similarity of Appearance (Threatened),FALSE,Emydidae,Reptiles,Animal
Alabama moccasinshell,Medionidus acutissimus,Threatened,FALSE,Unionidae,Clams,Animal
Alabama pearlshell,Margaritifera marrianae,Endangered,FALSE,Margaritiferidae,Clams,Animal
Alabama rainbow,Villosa nebulosa,Under Review,FALSE,Unionidae,Clams,Animal
Alabama red-bellied turtle,Pseudemys alabamensis,Endangered,FALSE,Emydidae,Reptiles,Animal
Alabama sandwort,Arenaria alabamensis,Resolved Taxon,FALSE,Caryophyllaceae,Flowering Plants,Plant
Alabama shad,Alosa alabamae,Under Review,FALSE,Clupeidae,Fishes,Animal
Alabama spike,Elliptio arca,Under Review,FALSE,Unionidae,Clams,Animal
Alabama streak-sorus fern,Thelypteris pilosa var. alabamensis,Threatened,FALSE,Thelypteridaceae,Ferns and Allies,Plant
Alabama sturgeon,Scaphirhynchus suttkusi,Endangered,FALSE,Acipenseridae,Fishes,Animal
Alabama vertigo,Vertigo alabamensis,Species of Concern,FALSE,Pupillidae,Snails,Animal
Alabama well amphipod,Stygobromus smithi,Species of Concern,FALSE,Crangonyctidae,Crustaceans,Animal
Alachua Light Fleeting Cave crayfish,Procambarus lucifugus ssp. alachua,Status Undefined,FALSE,Cambaridae,Crustaceans,Animal
Alameda Island mole,Scapanus latimanus parvus,Species of Concern,FALSE,Talpidae,Mammals,Animal
Alameda whipsnake (=striped racer),Masticophis lateralis euryxanthus,Threatened,FALSE,Colubridae,Reptiles,Animal
Alamo beardtongue,Penstemon alamosensis,Species of Concern,FALSE,Scrophulariaceae,Flowering Plants,Plant
Alamosa satyr butterfly,Cercyonis meadii alamosa,Resolved Taxon,FALSE,Nymphalidae,Insects,Animal
Alamosa springsnail,Tryonia alamosae,Endangered,FALSE,Hydrobiidae,Snails,Animal
Alani,Melicope adscendens,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope balloui,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope christophersenii,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope cruciata,Species of Concern,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope degeneri,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope haleakalae,Species of Concern,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope haupuensis,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope hawaiensis,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope hiiakae,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope kavaiensis,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope knudsenii,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope lydgatei,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope macropus,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope makahae,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope mucronulata,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope munroi,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope nealae,Species of Concern,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope obovata,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope orbicularis,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope ovalis,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope ovata,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope pallida,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope paniculata,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope puberula,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope quadrangularis,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope reflexa,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope saint-johnii,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope sandwicensis,Resolved Taxon,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope wailauensis,Species of Concern,FALSE,Rutaceae,Flowering Plants,Plant
Alani,Melicope zahlbruckneri,Endangered,FALSE,Rutaceae,Flowering Plants,Plant
Alaotra Grebe,Tachybaptus rufolavatus,Endangered,TRUE,Podicipedidae,Birds,Animal
Alaska rein orchid,Platanthera unalascensis maritima,Resolved Taxon,FALSE,Orchidaceae,Flowering Plants,Plant
Albermarle crayfish,Procambarus medialis,Species of Concern,FALSE,Cambaridae,Crustaceans,Animal
Aldabra Warbler (old world warbler),Nesillas aldabranus,Endangered,TRUE,Muscicapidae,Birds,Animal
Aleutian Canada goose,Branta canadensis leucopareia,Recovery,FALSE,Anatidae,Birds,Animal
Aleutian chickweed,Cerastium aleuticum,Resolved Taxon,FALSE,Caryophyllaceae,Flowering Plants,Plant
Aleutian saxifrage,Saxifraga aleutica,Resolved Taxon,FALSE,Saxifragaceae,Flowering Plants,Plant
Aleutian shield fern,Polystichum aleuticum,Endangered,FALSE,Dryopteridaceae,Ferns and Allies,Plant
Aleutian Tern,Sterna aleutica,Species of Concern,FALSE,Laridae,Birds,Animal
Aleutian wormwood,Artemisia aleutica,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
alewife,Alosa pseudoharengus,Status Undefined,FALSE,Clupeidae,Fishes,Animal
Alexander Archipelago wolf,Canis lupus ligoni,Under Review,FALSE,Canidae,Mammals,Animal
Alexander's rhyacophilan caddisfly,Rhyacophila alexanderi,Species of Concern,FALSE,Rhyacophilidae,Insects,Animal
Alexander's rock-aster,Eurybia avita,Species of Concern,FALSE,Asteraceae,Flowering Plants,Plant
Algerian nuthatch,Sitta ledanti,Endangered,TRUE,Sittidae,Birds,Animal
Algodoncillo,Psiguria cookiana,Species of Concern,FALSE,Cucurbitaceae,Flowering Plants,Plant
Algodones croton jewel beetle,Agrilus harenus,Resolved Taxon,FALSE,Buprestidae,Insects,Animal
Algodones Dunes sunflower,Helianthus niveus tephrodes,Species of Concern,FALSE,Asteraceae,Flowering Plants,Plant
Algodones white wax jewel beetle,Prasinalia imperialis,Resolved Taxon,FALSE,Buprestidae,Insects,Animal
Algondones sand jewel beetle,Lepismadora algodones,Resolved Taxon,FALSE,Buprestidae,Insects,Animal
Alifan Tree snail,Partula salifana,Species of Concern,FALSE,Partulidae,Snails,Animal
A Liverwort,Porella wataugensis,Species of Concern,FALSE,Porellaceae,Flowering Plants,Plant
Alkali mariposa lily,Calochortus striatus,Species of Concern,FALSE,Liliaceae,Flowering Plants,Plant
Alkali milk-vetch,Astragalus tener var. tener,Species of Concern,FALSE,fabaceae,Flowering Plants,Plant
Alkali skipper,Pseudocopaeodes eunus eunus,Resolved Taxon,FALSE,Hesperiidae,Insects,Animal
Alleghany plum,Prunus alleghaniensis,Species of Concern,FALSE,Rosaceae,Flowering Plants,Plant
Alleghany snaketail,Ophiogomphus incurvatus alleghaniensis,Status Undefined,FALSE,Gomphidae,Insects,Animal
Alleghany woodrat,Neotoma magister,Resolved Taxon,FALSE,Muridae,Mammals,Animal
Allegheny cave amphipod,Stygobromus allegheniensis,Resolved Taxon,FALSE,Crangonyctidae,Crustaceans,Animal
Allen's 13-lined ground squirrel,Spermophilus tridecemlineatus alleni,Species of Concern,FALSE,Sciuridae,Mammals,Animal
Allen's big-eared bat,Idionycteris phyllotis,Species of Concern,FALSE,Vespertilionidae,Mammals,Animal
Allen's Cay iguana,Cyclura cychlura inornata,Threatened,TRUE,Iguanidae,Reptiles,Animal
Allen's Hummingbird,Selasphorus sasin,Species of Concern,FALSE,Trochilidae,Birds,Animal
Alligator snapping turtle,Macrochelys temminckii,Proposed Threatened,FALSE,Chelydridae,Reptiles,Animal
Alpine bluet,Houstonia caerulea faxonorum,Resolved Taxon,FALSE,Rubiaceae,Flowering Plants,Plant
Alpine braya,Braya humilis ventosa,Resolved Taxon,FALSE,Brassicaceae,Flowering Plants,Plant
Alpine County cryptantha,Cryptantha crymophila,Resolved Taxon,FALSE,Boraginaceae,Flowering Plants,Plant
Alpine Mountainsnail,Oreohelix alpina,Resolved Taxon,FALSE,Oreohelicidae,Snails,Animal
Alpine streptanthus,Streptanthus gracilis,Resolved Taxon,FALSE,Brassicaceae,Flowering Plants,Plant
Alsea ochrotrichian micro caddisfly,Ochrotrichia alsea,Resolved Taxon,FALSE,Hydroptilidae,Insects,Animal
Altamaha arc-mussel,Alasmidonta arcula,Under Review,FALSE,Unionidae,Clams,Animal
Altamaha lance,Elliptio shepardiana,Species of Concern,FALSE,Unionidae,Clams,Animal
Altamaha shiner,Cyprinella xaenura,Under Review,FALSE,Cyprinidae,Fishes,Animal
Altamaha Spinymussel,Elliptio spinosa,Endangered,FALSE,Unionidae,Clams,Animal
Altamira Oriole,Icterus gularis,Species of Concern,FALSE,Icteridae,Birds,Animal
Alverson's foxtail cactus,Coryphantha vivipara alversonii,Species of Concern,FALSE,Cactaceae,Flowering Plants,Plant
Alvord chub,Gila alvordensis,Species of Concern,FALSE,Cyprinidae,Fishes,Animal
Alvord cutthroat trout,Oncorhynchus clarki ssp.,Resolved Taxon,FALSE,Salmonidae,Fishes,Animal
Amador rush-rose,Helianthemum scoparium,Resolved Taxon,FALSE,Cistaceae,Flowering Plants,Plant
Amak song sparrow,Melospiza melodia amaka,Resolved Taxon,FALSE,Emberizidae,Birds,Animal
Amak tundra vole,Microtus oeconomus amakensis,Species of Concern,FALSE,Muridae,Mammals,Animal
Amargosa Canyon speckled dace,Rhinichthys osculus ssp.,Species of Concern,FALSE,Cyprinidae,Fishes,Animal
Amargosa naucorid,Pelocoris shoshone amargosa,Resolved Taxon,FALSE,Naucoridae,Insects,Animal
Amargosa niterwort,Nitrophila mohavensis,Endangered,FALSE,Chenopodiaceae,Flowering Plants,Plant
Amargosa penstemon,Penstemon fruticiformis amargosae,Species of Concern,FALSE,Scrophulariaceae,Flowering Plants,Plant
Amargosa southern pocket gopher,Thomomys umbrinus amargosae,Resolved Taxon,FALSE,Geomyidae,Mammals,Animal
Amargosa toad,Bufo nelsoni,Resolved Taxon,FALSE,Bufonidae,Amphibians,Animal
Amargosa tryonia,Tryonia variegata,Resolved Taxon,FALSE,Hydrobiidae,Snails,Animal
Amargosa vole,Microtus californicus scirpensis,Endangered,FALSE,Cricetidae,Mammals,Animal
Amarillo mato,Caesalpinia culebrae,Species of Concern,FALSE,Fabaceae,Flowering Plants,Plant
A Mayfly,Baetodes alleni,Resolved Taxon,FALSE,Baetidae,Insects,Animal
Amazonian manatee,Trichechus inunguis,Endangered,TRUE,Trichechidae,Mammals,Animal
Amber darter,Percina antesella,Endangered,FALSE,Percidae,Fishes,Animal
Ambiguous eopenthes click beetle,Eopenthes ambiguus,Species of Concern,FALSE,Elateridae,Insects,Animal
American alligator,Alligator mississippiensis,Similarity of Appearance (Threatened),FALSE,Alligatoridae,Reptiles,Animal
American badger,Taxidea taxus,Species of Concern,FALSE,mustelidae,Mammals,Animal
American bittern,Botaurus lentiginosus,Species of Concern,FALSE,ardeidae,Birds,Animal
American black bear,Ursus americanus,Resolved Taxon,FALSE,Ursidae,Mammals,Animal
American bumble bee,Bombus pensylvanicus,Under Review,FALSE,Apidae,Insects,Animal
American burying beetle,Nicrophorus americanus,Threatened,FALSE,Silphidae,Insects,Animal
American burying beetle,Nicrophorus americanus,"Experimental Population, Non-Essential",FALSE,Silphidae,Insects,Animal
American chaffseed,Schwalbea americana,Endangered,FALSE,Scrophulariaceae,Flowering Plants,Plant
American chestnut nepticulid moth,Ectodemia castaneae,Species of Concern,FALSE,Nepticulidae,Insects,Animal
American clam shrimp,Limnadia lenticularis,Species of Concern,FALSE,Limnadiidae,Crustaceans,Animal
American Coot,Fulica americana americana,Species of Concern,FALSE,Rallidae,Birds,Animal
American crocodile,Crocodylus acutus,Endangered,TRUE,Crocodylidae,Reptiles,Animal
American crocodile,Crocodylus acutus,Threatened,FALSE,Crocodylidae,Reptiles,Animal
American Dipper,Cinclus mexicanus unicolor,Resolved Taxon,FALSE,Cinclidae,Birds,Animal
American dry rock moss,Grimmia americana,Resolved Taxon,FALSE,Grimmiaceae,Flowering Plants,Plant
American eel,Anguilla rostrata,Resolved Taxon,FALSE,Anguillidae,Fishes,Animal
American Flamingo,Phoenicopterus ruber,Species of Concern,FALSE,Phoenicopteridae,Birds,Animal
American ginseng,Panax quinquefolius,Resolved Taxon,FALSE,Araliaceae,Flowering Plants,Plant
American Golden-Plover,Pluvialis dominica,Species of Concern,FALSE,Charadriidae,Birds,Animal
American hart's-tongue fern,Asplenium scolopendrium var. americanum,Threatened,FALSE,Aspleniaceae,Ferns and Allies,Plant
American Kestrel,Falco sparverius paulus,Species of Concern,FALSE,Falconidae,Birds,Animal
American Oystercatcher,Haematopus palliatus,Species of Concern,FALSE,Charadriidae,Birds,Animal
American peregrine falcon,Falco peregrinus anatum,Recovery,FALSE,Falconidae,Birds,Animal
American pika,Ochotona princeps,Resolved Taxon,FALSE,Ochotonidae,Mammals,Animal
American sandburrowing mayfly,Dolania americana,Species of Concern,FALSE,Behningiidae,Insects,Animal
American swallow-tailed kite,Elanoides forficatus forficatus,Resolved Taxon,FALSE,Accipitridae,Birds,Animal
American white pelican,pelecanus erythrorhynchos,Species of Concern,FALSE,pelecanidae,Birds,Animal
A millipede,Polydesmus cavicola,Resolved Taxon,FALSE,Polydesmidae,Insects,Animal
Amistad gambusia,Gambusia amistadensis,Extinction,FALSE,Cyprinodontidae,Fishes,Animal
Ammon's tortula,Tortula ammonsiana,Species of Concern,FALSE,Pottiaceae,Flowering Plants,Plant
Amphibious caddisfly,Desmona bethula,Species of Concern,FALSE,Limnephilidae,Insects,Animal
Ample elimia,Elimia ampla,Under Review,FALSE,Pleuroceridae,Snails,Animal
Amsterdam Albatross,Diomedia amsterdamensis,Endangered,TRUE,Diomedeidae,Birds,Animal
Amur Sturgeon,Acipenser schrenckii,Proposed Endangered,TRUE,Acipenseridae,Fishes,Animal
Anacapa deer mouse,Peromyscus maniculatus anacapae,Resolved Taxon,FALSE,Muridae,Mammals,Animal
Anastasia Island beach mouse,Peromyscus polionotus phasma,Endangered,FALSE,Muridae,Mammals,Animal
Anastasia Island cotton mouse,Peromyscus gossypinus anastasae,Resolved Taxon,FALSE,Muridae,Mammals,Animal
Anastasia Island mole,Scalopus aquaticus anastasae,Resolved Taxon,FALSE,Talpidae,Mammals,Animal
`Anaunau,Lepidium arbuscula,Endangered,FALSE,Brassicaceae,Flowering Plants,Plant
`Anaunau,Lepidium bidentatum o-waihiense,Resolved Taxon,FALSE,Brassicaceae,Flowering Plants,Plant
`Anaunau,Lepidium serra,Species of Concern,FALSE,Brassicaceae,Flowering Plants,Plant
Ana wingless thread bug,Nesidiolestes ana,Species of Concern,FALSE,Reduviidae,Insects,Animal
Anchialine pool shrimp,Antecaridina lauensis,Resolved Taxon,FALSE,Atyidae,Crustaceans,Animal
Anchialine pool shrimp,Metabetaeus lohena,Resolved Taxon,FALSE,Alpheidae,Crustaceans,Animal
Anchialine pool shrimp,Palaemonella burnsi,Resolved Taxon,FALSE,Palaemonidae,Crustaceans,Animal
Anchialine pool shrimp,Vetericaris chaceorum,Endangered,FALSE,Procaridae,Crustaceans,Animal
Anchialine pool Shrimp,Calliasmata pholidota,Resolved Taxon,FALSE,Alpheidae,Crustaceans,Animal
Anchialine pool Shrimp,Procaris hawaiana,Endangered,FALSE,Procarididae,Crustaceans,Animal
Anchialine Pool Snail,Neritilia hawaiiensis,Species of Concern,FALSE,Neritidae,Snails,Animal
Ancient ant,Smithistruma reliquia,Species of Concern,FALSE,Formicidae,Insects,Animal
Andean cat,Felis jacobita,Endangered,TRUE,Felidae,Mammals,Animal
Andean condor,Vultur gryphus,Endangered,TRUE,Cathartidae,Birds,Animal
Andean flamingo,Phoenicoparrus andinus,Endangered,TRUE,Phoenicopteridae,Birds,Animal
Anderson's brachymenium,Brachymenium andersonii,Species of Concern,FALSE,Bryaceae,Flowering Plants,Plant
Anderson sedge,Carex micropoda,Resolved Taxon,FALSE,Cyperaceae,Flowering Plants,Plant
Andrenid bee,Perdita glamis,Resolved Taxon,FALSE,Andrenidae,Insects,Animal
Andrenid Bee,Perdita algondones,Resolved Taxon,FALSE,Andrenidae,Insects,Animal
Andrenoid yellow-faced bee,Hylaeus andrenoides,Species of Concern,FALSE,Hylaeidae,Insects,Animal
Andrews' dune scarab beetle,Pseudocotalpa andrewsi,Resolved Taxon,FALSE,Scarabaeidae,Insects,Animal
Andrew's frigatebird,Fregata andrewsi,Endangered,TRUE,Fregatidae,Birds,Animal
Andrew's marble butterfly,Euchloe hyantis andrewsi,Species of Concern,FALSE,Pieridae,Insects,Animal
Andros Island ground iguana,Cyclura cychlura cychlura,Threatened,TRUE,Iguanidae,Reptiles,Animal
Anegada ground iguana,Cyclura pinguis,Endangered,TRUE,Iguanidae,Reptiles,Animal
Angel shark,Squatina squatina,Endangered,FALSE,Squatinidae,Fishes,Animal
