Common Name,Scientific Name,ESA Listing Status,Is Foreign?,Taxonomic Family,Taxonomic Group,Taxonomic Kingdom
Savannah lilliput,Toxolasma pullus,Status Undefined,FALSE,Unionidae,Clams,Animal
Savannah pebblesnail,Somatogyrus tenax,Species of Concern,FALSE,Hydrobiidae,Snails,Animal
Sawback angelshark,Squatina aculeata,Endangered,FALSE,Squatinidae,Fishes,Animal
Sawmill Hollow cave beetle,Pseudanophthalmus scholasticus,Species of Concern,FALSE,Carabidae,Insects,Animal
Saw-toothed lewisia,Lewisia serrata,Species of Concern,FALSE,Portulacaceae,Flowering Plants,Plant
Sawtooth Mountain woodlandsnail,Ashmunella mudgei,Resolved Taxon,FALSE,Polygyridae,Snails,Animal
Saxicola rock catfoot,Gnaphalium obtusifolium saxicola,Species of Concern,FALSE,Asteraceae,Flowering Plants,Plant
Say's spiketail,Cordulegaster sayi,Status Undefined,FALSE,Cordulegastridae,Insects,Animal
Scabrid railardella,Anisocarpus scabridus,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
Scadden Flat checkerbloom,Sidalcea stipularis,Species of Concern,FALSE,Malvaceae,Flowering Plants,Plant
Scaled Quail,Callipepla squamata,Species of Concern,FALSE,Odontophoridae,Birds,Animal
Scaleshell mussel,Leptodea leptodon,Endangered,FALSE,Unionidae,Clams,Animal
Scalloped Hammerhead Shark,Sphyrna lewini,Threatened,FALSE,Sphyrnidae,Fishes,Animal
Scalloped Hammerhead Shark,Sphyrna lewini,Threatened,FALSE,Sphyrnidae,Fishes,Animal
Scalloped Hammerhead Shark,Sphyrna lewini,Endangered,FALSE,Sphyrnidae,Fishes,Animal
Scalloped Hammerhead Shark,Sphyrna lewini,Endangered,FALSE,Sphyrnidae,Fishes,Animal
Scaly rhyncogonus weevil,Rhyncogonus squamiger,Species of Concern,FALSE,Curculionidae,Insects,Animal
Scaly-tailed possum,Wyulda squamicaudata,Endangered,TRUE,Phalangeridae,Mammals,Animal
Scarlet-breasted robin (flycatcher),Petroica multicolor multicolor,Endangered,TRUE,Muscicapidae,Birds,Animal
Scarlet catchfly,Silene subciliata,Species of Concern,FALSE,Caryophyllaceae,Flowering Plants,Plant
Scarlet-chested parakeet,Neophema splendida,Recovery,TRUE,Psittacidae,Birds,Animal
Scarlet macaw,Ara macao ssp. cyanopterus,Endangered,TRUE,Psittacidae,Birds,Animal
Scarlet macaw,Ara macao ssp. macao,Threatened,TRUE,Psittacidae,Birds,Animal
Scarlet macaw,Ara macao ssp. macao,Similarity of Appearance (Threatened),TRUE,Psittacidae,Birds,Animal
Schauinsland's bush cricket,Caconemobius schauinslandi,Species of Concern,FALSE,Gryllidae,Insects,Animal
Schaum's Blue Ridge ground beetle,Sphaeroderus schaumi,Species of Concern,FALSE,Carabidae,Insects,Animal
Schaus swallowtail butterfly,Heraclides aristodemus ponceanus,Endangered,FALSE,Papilionidae,Insects,Animal
Schell Creek mountainsnail,Oreohelix nevadensis,Species of Concern,FALSE,Oreohelicidae,Snails,Animal
Schleser's fishhook cactus,Sclerocactus schleseri,Species of Concern,FALSE,Cactaceae,Flowering Plants,Plant
Schoolcraft's cryptantha,Cryptantha sobolifera,Species of Concern,FALSE,Boraginaceae,Flowering Plants,Plant
Schoolhouse Springs leuctran stonefly,Leuctra szczytkoi,Under Review,FALSE,Leuctridae,Insects,Animal
Schott's wire-lettuce,Stephanomeria schottii,Resolved Taxon,FALSE,Asteraceae,Flowering Plants,Plant
Schreiber's manzanita,Arabis oxylobula,Resolved Taxon,FALSE,Brassicaceae,Flowering Plants,Plant
Schreiber's manzanita,Arctostaphylos glutinosa,Species of Concern,FALSE,Ericaceae,Flowering Plants,Plant
Schuh's homoplectran caddisfly,Homoplectra schuhi,Species of Concern,FALSE,Hydropsychidae,Insects,Animal
Schwarz' diving beetle,Laccophilus schwarzi,Resolved Taxon,FALSE,Dytiscidae,Insects,Animal
Schweinitz's sunflower,Helianthus schweinitzii,Endangered,FALSE,Asteraceae,Flowering Plants,Plant
Schweinitz's waterweed,Elodea schweinitzii,Species of Concern,FALSE,Hydrocharitaceae,Flowering Plants,Plant
Scimitar-horned oryx,Oryx dammah,Endangered,TRUE,Bovidae,Mammals,Animal
Scioto madtom,Noturus trautmani,Endangered,FALSE,Ictaluridae,Fishes,Animal
Scissor-tailed Flycatcher,Tyrannus forficatus,Species of Concern,FALSE,Tyrannidae,Birds,Animal
Sclater's monal pheasant,Lophophorus sclateri,Endangered,TRUE,Phasianidae,Birds,Animal
Scott Bar salamander,Plethodon asupak,Resolved Taxon,FALSE,Plethodontidae,Amphibians,Animal
Scott Mountains bedstraw,Galium serpenticum scotticum,Resolved Taxon,FALSE,Rubiaceae,Flowering Plants,Plant
Scott optioservus riffle beetle,Optioservus phaeus,Resolved Taxon,FALSE,Elmidae,Insects,Animal
Scott's spleenwort,Asplenium ebenoides,Resolved Taxon,FALSE,Aspleniaceae,Ferns and Allies,Plant
Scotts Valley Polygonum,Polygonum hickmanii,Endangered,FALSE,Polygonaceae,Flowering Plants,Plant
Scotts Valley spineflower,Chorizanthe robusta var. hartwegii,Endangered,FALSE,Polygonaceae,Flowering Plants,Plant
Scott Valley phacelia,Phacelia greenei,Species of Concern,FALSE,Hydrophyllaceae,Flowering Plants,Plant
Scribe allocarya,Plagiobothrys scriptus,Resolved Taxon,FALSE,Boraginaceae,Flowering Plants,Plant
Scripp's Murrelet,Synthliboramphus hypoleucus scrippsi,Resolved Taxon,FALSE,Alcidae,Birds,Animal
Scripps's Murrelet,Synthliboramphus scrippsi,Species of Concern,FALSE,Alcidae,Birds,Animal
Scrub blazingstar,Liatris ohlingerae,Endangered,FALSE,Asteraceae,Flowering Plants,Plant
Scrub buckwheat,Eriogonum longifolium var. gnaphalifolium,Threatened,FALSE,Polygonaceae,Flowering Plants,Plant
Scrub golden aster noctuid moth,Schinia rufipenna,Species of Concern,FALSE,Noctuidae,Insects,Animal
Scrub Island burrowing scarab,Mycotrupes pedester,Species of Concern,FALSE,Geotrupidae,Insects,Animal
Scrub lupine,Lupinus aridorum,Endangered,FALSE,Fabaceae,Flowering Plants,Plant
Scrub mint,Dicerandra frutescens,Endangered,FALSE,Lamiaceae,Flowering Plants,Plant
Scrub oak,Quercus berberidifolia,Species of Concern,FALSE,Fagaceae,Flowering Plants,Plant
Scrub palmetto flower scarab,Trigonopelastes floridana,Species of Concern,FALSE,Scarabaeidae,Insects,Animal
Scrub plum,Prunus geniculata,Endangered,FALSE,Rosaceae,Flowering Plants,Plant
Sculpin snail,Stiobia nana,Species of Concern,FALSE,Hydrobiidae,Snails,Animal
Sculpted supercoil,Paravitrea ternaria,Species of Concern,FALSE,Zonitidae,Snails,Animal
Sculptured popcornflower,Plagiobothrys glyptocarpus var. glyptocarpus,Species of Concern,FALSE,Boraginaceae,Flowering Plants,Plant
Seabeach amaranth,Amaranthus pumilus,Threatened,FALSE,Amaranthaceae,Flowering Plants,Plant
sea bean,Mucuna sloanei var. persericea,Endangered,FALSE,Fabaceae,Flowering Plants,Plant
Sea cliff bluegrass,Poa unilateralis,Resolved Taxon,FALSE,Poaceae,Flowering Plants,Plant
Searchlight southern pocket gopher,Thomomys umbrinus suboles,Species of Concern,FALSE,Geomyidae,Mammals,Animal
Seashore cactus,Opuntia martiniana,Resolved Taxon,FALSE,Cactaceae,Flowering Plants,Plant
Seaside alder,Alnus maritima,Resolved Taxon,FALSE,Betulaceae,Flowering Plants,Plant
Seaside birds-beak,Cordylanthus rigidus littoralis,Species of Concern,FALSE,Scrophulariaceae,Flowering Plants,Plant
