ECOS Listed Species ID	ESA Listing Date	Delisting Date	Delisting Reason
1002	8/26/1988		
697	5/13/1992		
2154	5/13/2010		
819	10/21/1979		
120	8/27/1984		
5323	6/2/1970		
880	6/23/1988		
1407	10/31/2016		
1112	10/10/1996		
1097	10/8/1992		
1369	10/10/2012		
1177	10/10/1996		
7372	11/7/2016		
9972	8/26/2010		
8347	10/18/2012		
385	3/16/1998		
5187	6/22/1983		
1188	9/3/1999		
127	9/9/1994		
10588	10/31/2016		
1176	10/10/1996		
9951	5/13/2010		
7349	10/10/2012		
571	8/8/1997		
1091	3/2/1994		
7177	10/10/2012		
6204	6/2/1970		
690	3/28/1994		
545	10/10/1996		
1278	5/13/2010		
980	1/14/1987		
6534	10/10/2012		
549	10/10/1996		
10326	11/13/2014		
10226	6/27/2013		
511	5/21/2001		
965	10/10/1996		
9955	5/13/2010		
371	3/16/1998		
9954	5/13/2010		
73	3/11/1967		
1433	1/12/1995		
827	11/22/1983		
4508	4/6/2012		
964	2/25/1994		
6138	7/9/2013		
9953	5/13/2010		
2902	9/20/1979		
1277	1/12/1995		
987	5/13/1992		
2805	6/2/1970		
6679	5/13/2010		
4252	6/22/1983		
4724	8/26/2011		
10060	11/4/2016		
4961	5/13/2010		
66	3/11/1967		
668	2/3/1995		
570	10/22/1997		
8395	1/19/2000		
429	4/28/1976		
691	10/10/1996		
3049	5/13/2010		
10721	11/2/2015		
10729	11/2/2015		
9956	5/13/2010		
559	10/13/1998		
6303	6/27/2013		
5067	9/11/2014		
4739	6/14/1976		
9957	5/13/2010		
499	8/21/1996		
10225	6/27/2013		
538	10/10/1996		
115	9/12/1977		
10723	11/2/2015		
10222	6/27/2013		
488	4/7/1987		
1051	5/15/1992		
692	2/25/1994		
1113	9/20/1991		
1114	9/3/1999		
10481	11/29/2013		
797	9/1/1982		
10592	10/31/2016		
1111	3/4/1994		
1240	11/30/2001		
709	1/19/1981		
11376	11/6/2015		
4086	10/17/2013		
3999	11/2/2015		
883	8/8/1990		
1117	11/10/1994		
8083	9/11/2014		
10720	11/2/2015		
2120	1/23/1984		
394	8/2/1978		
102	10/13/1970		
10914	1/12/2015		
1198	9/26/1994		
2273	10/18/2012		
39	9/30/1988		
4404	6/2/1970		
1249	5/9/2006		
665	8/24/1982		
5991	10/18/2012		
10011	8/28/2015		
693	10/10/1996		
841	2/3/1995		
9962	5/13/2010		
10593	10/31/2016		
513	10/18/1993		
1349	6/27/2013		
884	10/28/1987		
652	2/3/1995		
9	3/11/1967		
1131	3/4/1994		
11658	7/27/2021		
10722	11/2/2015		
256	8/24/1989		
5730	6/14/1976		
1054	10/29/1991		
1769	6/2/1970		
2268	10/18/2012		
1227	7/19/1984		
1235	4/27/1993		
826	10/11/1979		
7412	6/2/1970		
904	6/21/2021		
817	7/18/1985		
1036	7/18/1985		
2622	6/2/1970		
4740	6/27/2013		
838	11/29/1979		
376	5/7/1991		
833	2/25/1994		
10724	11/2/2015		
849	9/20/1991		
5334	10/31/2016		
3576	6/2/1970		
2085	6/27/2013		
820	5/16/1986		
941	5/20/1985		
5233	10/31/2016		
821	2/17/1984		
10717	9/4/2014		
816	5/23/1979		
890	1/14/1987		
896	2/6/1990		
136	11/2/1987		
3737	10/18/2012		
923	9/26/1986		
7367	10/18/2012		
804	1/21/1987		
10716	9/4/2014		
3	3/11/1967		
10234	6/27/2013		
863	10/29/1991		
10232	6/27/2013		
6404	6/14/1976		
3784	10/31/2016		
7067	10/31/2016		
1234	7/27/1989		
808	10/8/1992		
832	11/10/1994		
4420	10/6/2014		
10727	11/2/2015		
1265	4/8/2004		
6257	11/29/2013		
2956	8/12/2002		
1152	10/29/1991		
1060	3/4/1994		
7816	4/12/2012		
1264	4/8/2004		
2404	5/13/2010		
869	3/4/1994		
8160	11/29/2013		
7206	10/6/2014		
10231	6/27/2013		
907	4/27/1993		
805	4/27/1993		
1038	2/18/1987		
10285	7/23/1978		
1266	11/2/2015		
1141	10/10/1996		
87	6/2/1970		
1975	6/2/1970		
901	1/21/1987		
2590	6/14/1976		
10233	6/27/2013		
10161	7/22/2011		
5168	11/2/2015		
1143	10/10/1996		
1707	6/30/2014		
7886	5/13/2010		
9929	9/12/2013		
809	1/21/1987		
3671	10/9/2014		
1525	11/25/2013		
631	12/6/1979		
8166	11/2/2015		
1217	7/2/1993		
795	2/25/1994		
7345	7/27/1979		
847	10/29/1991		
30	3/28/1972		
922	9/26/1986		
7840	10/31/2016		
10726	11/2/2015		
293	8/5/1985		
435	8/8/1980		
5902	6/14/1976		
1196	11/10/1994		
11340	11/2/2015		
4782	7/27/1979		
1154	11/10/1994		
10728	11/2/2015		
1229	7/18/1985		
4604	5/16/1986		
803	4/27/1993		
6870	10/31/2016		
948	6/16/1987		
10590	10/31/2016		
171	12/23/1986		
983	10/10/1996		
10725	11/2/2015		
7393	6/22/1983		
491	9/19/1994		
3753	5/13/2010		
3175	11/29/2013		
2682	10/31/2016		
6294	1/12/1995		
3116	10/31/2016		
1140	3/4/1994		
8356	6/14/2001		
932	1/21/1987		
775	10/10/1996		
900	4/5/1990		
1001	3/4/1994		
10343	11/13/2014		
1157	10/10/1996		
10024	4/11/2013		
4898	6/2/1970		
10584	10/31/2016		
9378	10/4/2012		
929	4/27/1993		
2964	6/22/1983		
239	10/11/1977		
4048	9/21/1989		
197	4/30/1997		
1740	6/30/2014		
7907	11/2/2015		
892	11/2/1987		
7692	2/29/1984		
10228	6/27/2013		
10096	8/30/2018		
624	8/24/1994		
1535	10/31/2016		
5294	6/14/1976		
734	4/14/1989		
836	11/26/1990		
4395	10/6/2017		
3668	6/9/1993		
710	8/24/1994		
921	6/23/1988		
4161	6/22/1983		
10153	4/13/2011		
5487	6/2/1970		
1218	2/25/1994		
4154	6/14/1976		
4786	12/2/1970		
4718	6/14/1976		
8363	9/16/2010		
170	4/2/1980		
7844	1/12/1995		
1215	7/2/1993		
1123	7/19/1990		
3014	9/27/1990		
544	10/13/1998		
10714	9/4/2014		
392	8/2/1978		
3770	6/14/1976		
193	11/11/1977		
2199	6/14/1976		
7239	6/2/1970		
4308	11/2/2015		
1092	3/17/1999		
5473	6/22/1983		
2352	6/22/1983		
7789	6/2/1970		
4330	3/11/1967		
420	12/14/1992		
6882	10/19/1976		
1189	1/23/2002		
148	8/27/1984		
1190	1/8/1987		
852	2/7/1989		
398	12/14/1992		
1005	4/5/1990		
222	3/11/1967		
6237	12/2/1970		
147	6/11/1997		
1214	6/9/1993		
233	10/13/1970		
461	12/26/2000		
2494	6/2/1970		
6720	6/14/1976		
1096	5/20/1992		
10124	2/3/2011		
6843	3/25/1999		
426	1/16/1997		
13	4/28/1976		
9492	10/15/2007		
11	3/9/1978		
2471	12/2/1970		
5833	6/14/2001		
210	3/11/1967		
1216	7/2/1993		
3645	10/17/2013		
3103	7/27/1979		
7305	9/16/2010		
831	1/18/1991		
996	9/29/1992		
1115	2/3/1995		
11319	11/9/2020		
3486	6/14/1976		
7091	6/14/2001		
949	5/12/1986		
494	9/19/1994		
4699	1/16/2008		
1064	4/13/1990		
5	3/11/1967		
882	3/21/1986		
8233	1/12/1995		
492	8/3/1993		
378	3/17/1993		
257	6/12/1985		
4955	6/14/1976		
9327	9/2/2010		
5830	6/2/1970		
2971	6/2/1970		
323	7/10/1990		
7572	8/21/1991		
9122	7/26/2006		
5966	1/9/1985		
190	10/13/1970		
519	10/14/1998		
2219	6/2/1970		
4463	6/2/1970		
280	3/28/1985		
3694	5/16/1986		
1507	6/14/1976		
4318	11/20/2019		
226	10/13/1970		
824	10/11/1979		
191	6/4/1973		
361	7/22/1988		
413	10/28/1998		
1122	6/22/1992		
8352	12/21/2018		
3994	6/14/1976		
1203	2/5/1988		
318	1/10/1997		
149	2/27/1995		
11569	4/7/2021		
4053	12/2/1970		
984	9/28/1989		
288	7/18/1988		
899	6/11/1997		
308	4/27/1993		
261	3/28/1985		
4210	11/10/2011		
2917	3/12/2018		
5320	12/2/1970		
925	9/30/1988		
7370	6/2/1970		
635	5/15/1992		
10478	7/1/2002		
5490	9/30/1991		
846	9/30/1994		
991	10/28/1988		
7471	6/2/1970		
2886	6/2/1970		
1087	9/26/1991		
9490	10/15/2007		
8180	12/2/1970		
183	12/5/1997		
6530	6/2/1970		
2096	1/12/1995		
730	2/3/1995		
924	10/8/1992		
946	9/9/1988		
562	3/20/2000		
887	10/6/1998		
1448	6/14/1976		
7094	7/27/2021		
6252	6/14/1976		
8138	6/2/1970		
8040	6/2/1970		
5611	6/4/1973		
393	8/2/1978		
6376	7/24/2012		
1076	7/13/1989		
196	6/11/1997		
6659	12/2/1970		
4818	6/14/1976		
4894	7/27/1979		
4064	12/22/2014		
182	11/4/1997		
5847	11/4/1997		
442	8/7/1990		
1065	9/30/1991		
443	8/7/1990		
10025	6/24/2014		
4992	12/29/1999		
6901	11/3/2014		
5956	6/27/2013		
754	12/2/1991		
3661	6/2/1970		
7604	6/14/1976		
478	9/26/1986		
10707	1/15/2013		
419	6/8/1976		
918	3/28/1994		
1504	6/14/1976		
8368	1/12/1995		
6258	6/2/1970		
169	6/11/1987		
1425	1/27/2011		
550	10/18/1996		
5634	6/14/1976		
10912	1/12/2015		
8129	10/19/1976		
4217	6/2/1970		
1400	10/11/2013		
6654	6/2/1970		
